sz,tsz,loads,misses,ins,mpki
1024,8,34212915,308126,123826571,9.006131164210942
1024,16,34208914,309144,123800343,9.036942827240876
1024,32,34201019,306657,123766717,8.966311793224639
1024,64,34199108,306557,123753867,8.963888765753772
2048,8,136073611,1202759,492078939,8.8390319854156
2048,16,136065313,1246279,492038594,9.15941743359676
2048,32,136195676,1321430,492616453,9.702437249182566
2048,64,136054066,1207557,491967115,8.875567158720564
4096,8,545819940,4873326,1976598145,8.928449920682635
4096,16,545701278,4963312,1975712076,9.095291142052265
4096,32,545705353,4968230,1975911322,9.104235413281717
4096,64,545640127,4914322,1975366554,9.00652601746792
8192,8,2188267025,19505346,7931740450,8.913604133846508
8192,16,2187649133,19401092,7929367616,8.868466020140351
8192,32,2187309694,19421319,7928049130,8.879089711564182
8192,64,2187590986,19388750,7929724729,8.86305992485928
