sz,tsz,loads,misses,ins,mpki
1024,8,63990034,860549,191302318,13.448172257573734
1024,16,63610680,1414446,190654981,22.23598301417309
1024,32,63399921,1685482,190179787,26.584922716228622
1024,64,63307520,1677708,189989608,26.50092753593886
2048,8,255375303,3592153,762986911,14.0661722484574
2048,16,253769581,5626584,759901524,22.172019112093658
2048,32,253013739,6776898,758366718,26.784703576907336
2048,64,252570911,6702407,757272834,26.536733677933324
4096,8,1023981282,15852303,3064347753,15.481047631103085
4096,16,1017671636,23288184,3052431474,22.883789992944244
4096,32,1014925571,27660320,3047958009,27.253545274996327
4096,64,1013776019,27298749,3046519141,26.92779123630069
8192,8,4116887150,63861260,12373240987,15.512025876152567
8192,16,4080250307,92754762,12268341945,22.732615653719012
8192,32,4066061955,109382184,12228228314,26.901258566779514
8192,64,4062856367,108345088,12223385205,26.66722084492533
