sz,tsz,loads,misses,ins,mpki
1024,8,87038232,862788,239730976,3.5989842213798853
1024,16,86641933,1581894,238989729,6.619087801886248
1024,32,86478936,1697934,238736363,7.11217168035688
1024,64,86431900,1682586,238755110,7.047329793276467
2048,8,347592112,3625350,956595533,3.7898462567878206
2048,16,346129088,6315056,954246586,6.617845002172216
2048,32,345427885,6851301,952985708,7.189300891383358
2048,64,345151915,6736071,952693953,7.070550808880804
4096,8,1393239355,16200917,3840566848,4.218366100940733
4096,16,1387203817,25003296,3831092390,6.5264142585713
4096,32,1384810864,27816618,3828422994,7.265816249561477
4096,64,1384455730,27334461,3829647384,7.137592122502316
8192,8,5587089330,65858721,15427793798,4.268835963346727
8192,16,5551330466,99943157,15339165118,6.515553893002953
8192,32,5540792626,110467574,15322552299,7.209476061452861
8192,64,5534040553,108525991,15306556623,7.090163625496687
