sz,tsz,loads,misses,ins,mpki
1024,8,63989422,859066,191303733,4.49058670486059
1024,16,63591438,1404415,190554439,7.370151056937593
1024,32,63440883,1683535,190348809,8.844473515986119
1024,64,63359408,1673531,190217951,8.797965655722997
2048,8,255796015,3733799,764803792,4.882035156018159
2048,16,254064981,5851569,761260989,7.686679186971973
2048,32,253439320,6854727,760423949,9.014349178526464
2048,64,252775633,6720651,758223816,8.863677001673079
4096,8,1026096585,16099322,3074298527,5.236746483338506
4096,16,1027643895,25090525,3095158210,8.106378833539496
4096,32,1018272458,27987024,3062738936,9.13790714286332
4096,64,1014059085,27170795,3047953375,8.914439184949803
8192,8,4100288596,63609096,12283316566,5.178495210004506
8192,16,4076720419,92779045,12242306217,7.578559411556336
8192,32,4069794194,109646561,12242530805,8.956200539452103
8192,64,4057068535,108444460,12198722790,8.88982083344809
